Total:,Not Hispanic or Latino,Hispanic or Latino,GEO_ID
1217,1095,122,1500000US261635456001
747,555,192,1500000US261635456002
1356,1356,0,1500000US261635456003
1195,896,299,1500000US261635456004
988,818,170,1500000US261635456005
1857,1583,274,1500000US261635457001
1542,1311,231,1500000US261635457002
825,695,130,1500000US261635458001
1057,993,64,1500000US261635458002
1289,994,295,1500000US261635458003
1053,885,168,1500000US261635458004
1101,1064,37,1500000US261635458005
1239,1091,148,1500000US261635459001
560,560,0,1500000US261635459002
374,360,14,1500000US261635459003
605,437,168,1500000US261635459004
1222,1222,0,1500000US261635459005
425,425,0,1500000US261635460001
494,473,21,1500000US261635460002
475,475,0,1500000US261635460003
473,473,0,1500000US261635460004
1219,1107,112,1500000US261635460005
292,279,13,1500000US261635461001
1285,1285,0,1500000US261635461002
825,751,74,1500000US261635461003
823,823,0,1500000US261635461004
354,336,18,1500000US261635461005
1155,1128,27,1500000US261635462001
600,560,40,1500000US261635462002
920,920,0,1500000US261635462003
1270,1270,0,1500000US261635462004
969,872,97,1500000US261635463001
1029,1029,0,1500000US261635463002
343,343,0,1500000US261635464001
592,585,7,1500000US261635464002
1129,1119,10,1500000US261635465001
1285,1271,14,1500000US261635465002
576,576,0,1500000US261635466001
1008,1008,0,1500000US261635466002
443,443,0,1500000US261635466003
215,215,0,1500000US261635467001
247,247,0,1500000US261635467002
811,799,12,1500000US261635467003
753,742,11,1500000US261635467004
679,679,0,1500000US261635467005
449,449,0,1500000US261635468001
723,700,23,1500000US261635468002
1736,1736,0,1500000US261635468003
1017,1017,0,1500000US261635468004
1061,1061,0,1500000US261635469001
648,648,0,1500000US261635501001
773,745,28,1500000US261635501002
584,584,0,1500000US261635501003
603,603,0,1500000US261635501004
1399,1389,10,1500000US261635501005
1312,1302,10,1500000US261635502001
1362,1325,37,1500000US261635502002
1314,1298,16,1500000US261635502003
1302,1302,0,1500000US261635503001
1856,1848,8,1500000US261635503002
734,714,20,1500000US261635504001
814,808,6,1500000US261635504002
766,766,0,1500000US261635505001
1475,1396,79,1500000US261635505002
1417,1371,46,1500000US261635505003
